id,username,email,first_name,last_name,addresses,age,gender,persona
17,user17,annette.baker@example.com,Annette,Baker,"[{'first_name': 'Annette', 'last_name': 'Baker', 'address1': '65011 Kelly Fork', 'address2': '', 'country': 'US', 'city': 'Karenfurt', 'state': 'KY', 'zipcode': '42248', 'default': True}]",18,F,sparkling_waters_other
63,user63,cheryl.duncan@example.com,Cheryl,Duncan,"[{'first_name': 'Cheryl', 'last_name': 'Duncan', 'address1': '55334 Steven Burg', 'address2': '', 'country': 'US', 'city': 'Leahberg', 'state': 'LA', 'zipcode': '70464', 'default': True}]",18,F,waters_juices_other
74,user74,candice.curry@example.com,Candice,Curry,"[{'first_name': 'Candice', 'last_name': 'Curry', 'address1': '3514 Sarah Union Apt. 744', 'address2': '', 'country': 'US', 'city': 'Sheliaport', 'state': 'MA', 'zipcode': '01744', 'default': True}]",21,F,isotonic_spirits_waters
88,user88,jessica.thomas@example.com,Jessica,Thomas,"[{'first_name': 'Jessica', 'last_name': 'Thomas', 'address1': '635 Jackson Spur', 'address2': '', 'country': 'US', 'city': 'Alvaradotown', 'state': 'VA', 'zipcode': '20041', 'default': True}]",18,F,spirits_beers_sparkling
144,user144,donna.gentry@example.com,Donna,Gentry,"[{'first_name': 'Donna', 'last_name': 'Gentry', 'address1': '08328 Miles Villages Suite 001', 'address2': '', 'country': 'US', 'city': 'Wigginsbury', 'state': 'MO', 'zipcode': '65699', 'default': True}]",18,F,waters_juices_other
192,user192,alejandra.herman@example.com,Alejandra,Herman,"[{'first_name': 'Alejandra', 'last_name': 'Herman', 'address1': '98476 William Way', 'address2': '', 'country': 'US', 'city': 'Sarahhaven', 'state': 'OK', 'zipcode': '73012', 'default': True}]",18,F,spirits_beers_sparkling
216,user216,frances.benjamin@example.com,Frances,Benjamin,"[{'first_name': 'Frances', 'last_name': 'Benjamin', 'address1': '38612 Michelle Motorway', 'address2': '', 'country': 'US', 'city': 'Sandramouth', 'state': 'NV', 'zipcode': '89475', 'default': True}]",18,F,sparkling_waters_other
244,user244,leslie.holmes@example.com,Leslie,Holmes,"[{'first_name': 'Leslie', 'last_name': 'Holmes', 'address1': '81703 Sanders Mountain', 'address2': '', 'country': 'US', 'city': 'East Josefort', 'state': 'MI', 'zipcode': '48040', 'default': True}]",18,F,sparkling_waters_other
269,user269,michael.owens@example.com,Michael,Owens,"[{'first_name': 'Michael', 'last_name': 'Owens', 'address1': '9448 Kane Track Apt. 319', 'address2': '', 'country': 'US', 'city': 'Davisshire', 'state': 'MI', 'zipcode': '49134', 'default': True}]",21,M,energy_isotonic_beers
296,user296,patrick.graham@example.com,Patrick,Graham,"[{'first_name': 'Patrick', 'last_name': 'Graham', 'address1': '65588 Elizabeth Fort Apt. 365', 'address2': '', 'country': 'US', 'city': 'Powellmouth', 'state': 'PA', 'zipcode': '18685', 'default': True}]",18,M,isotonic_waters_other
320,user320,william.potter@example.com,William,Potter,"[{'first_name': 'William', 'last_name': 'Potter', 'address1': '0885 Matthew Valleys', 'address2': '', 'country': 'US', 'city': 'West Amy', 'state': 'NV', 'zipcode': '89241', 'default': True}]",21,M,isotonic_spirits_waters
332,user332,angela.roth@example.com,Angela,Roth,"[{'first_name': 'Angela', 'last_name': 'Roth', 'address1': '47231 Theresa Underpass Apt. 844', 'address2': '', 'country': 'US', 'city': 'Benjaminville', 'state': 'AK', 'zipcode': '99721', 'default': True}]",21,F,isotonic_spirits_waters
348,user348,lindsey.barton@example.com,Lindsey,Barton,"[{'first_name': 'Lindsey', 'last_name': 'Barton', 'address1': '914 Davis Light', 'address2': '', 'country': 'US', 'city': 'Port Jenniferview', 'state': 'MD', 'zipcode': '20331', 'default': True}]",18,F,spirits_beers_sparkling
